index,Batsman,Matches,Runs,Average,NO,Balls,SR,30s,50s,HS,Sixes,Fours,Recent_runs,Form_Average
0,A Ashish Reddy,23,280,18.666666666666668,8.0,193,145.08,2,0,36,15,16,64,21.333333333333332
1,A Chandila,2,4,4.0,2.0,7,57.14,0,0,4,0,0,4,4.0
2,A Chopra,6,53,8.833333333333334,0.0,71,74.65,0,0,24,0,7,27,6.75
3,A Choudhary,3,25,25.0,2.0,20,125.0,0,0,15,1,1,25,25.0
4,A Dananjaya,1,4,4.0,1.0,5,80.0,0,0,4,0,0,4,4.0
5,A Flintoff,3,62,31.0,1.0,53,116.98,0,0,24,2,5,62,31.0
6,A Hales,6,150,25.0,0.0,118,127.12,3,0,46,6,13,59,14.75
7,A Kumble,15,35,11.666666666666666,12.0,47,74.47,0,0,8,0,3,5,5.0
8,A Mishra,50,341,13.115384615384615,24.0,365,93.42,2,0,31,5,27,6,3.0
9,A Mithun,6,34,6.8,1.0,26,130.77,0,0,11,1,4,29,9.666666666666666
10,A Mukund,2,19,9.5,0.0,22,86.36,0,0,19,0,1,19,9.5
11,A Nehra,17,41,5.857142857142857,10.0,62,66.13,0,0,22,1,3,1,1.0
12,A Singh,5,2,0.5,1.0,10,20.0,0,0,1,0,0,2,0.6666666666666666
13,A Symonds,36,974,36.074074074074076,9.0,750,129.87,14,6,117,41,74,23,7.666666666666667
14,A Uniyal,2,4,4.0,1.0,7,57.14,0,0,4,0,0,4,4.0
15,A Zampa,2,5,2.5,0.0,8,62.5,0,0,5,0,1,5,2.5
16,AA Bilakhia,7,69,13.8,2.0,85,81.18,0,0,22,0,5,34,11.333333333333334
17,AA Chavan,3,12,6.0,1.0,11,109.09,0,0,7,0,2,12,6.0
18,AA Jhunjhunwala,15,217,16.692307692307693,2.0,210,103.33,2,1,53,5,19,24,8.0
19,AA Noffke,1,9,9.0,0.0,10,90.0,0,0,9,0,1,9,9.0
20,AB Agarkar,18,179,19.88888888888889,9.0,154,116.23,1,0,39,5,13,28,28.0
21,AB Barath,3,42,21.0,1.0,42,100.0,1,0,33,1,5,42,21.0
22,AB Dinda,16,26,2.6,6.0,48,54.17,0,0,7,0,2,10,10.0
23,AB McDonald,9,123,24.6,4.0,100,123.0,2,0,33,4,9,47,15.666666666666666
24,AB de Villiers,129,3956,39.95959595959596,30.0,2624,150.76,51,31,133,186,326,199,66.33333333333333
25,AC Blizzard,7,120,17.142857142857142,0.0,90,133.33,2,1,51,2,21,62,15.5
26,AC Gilchrist,80,2069,27.223684210526315,4.0,1495,138.39,26,13,109,92,239,79,19.75
27,AC Thomas,4,20,10.0,2.0,19,105.26,0,0,12,1,1,20,10.0
28,AC Voges,7,181,45.25,3.0,143,126.57,2,0,45,3,15,79,26.333333333333332
29,AD Mascarenhas,11,79,8.777777777777779,2.0,78,101.28,0,0,27,1,5,19,6.333333333333333
30,AD Mathews,41,724,24.133333333333333,11.0,575,125.91,8,1,65,29,44,51,12.75
31,AD Nath,5,29,5.8,0.0,41,70.73,0,0,12,0,2,29,7.25
32,AD Russell,39,892,27.03030303030303,6.0,502,177.69,15,5,89,68,65,68,34.0
33,AF Milne,3,7,3.5,1.0,12,58.33,0,0,5,0,0,7,3.5
34,AG Murtaza,3,10,10.0,2.0,14,71.43,0,0,5,0,1,10,10.0
35,AG Paunikar,5,49,9.8,0.0,58,84.48,0,0,20,0,9,49,12.25
36,AJ Finch,73,1741,26.37878787878788,7.0,1333,130.61,23,13,88,67,176,113,28.25
37,AJ Tye,11,91,11.375,3.0,68,133.82,0,0,25,4,7,16,5.333333333333333
38,AL Menaria,23,401,19.095238095238095,2.0,356,112.64,5,0,40,18,24,48,16.0
39,AM Nayar,50,672,17.68421052631579,12.0,577,116.46,6,0,45,20,55,43,14.333333333333334
40,AM Rahane,119,3437,33.04807692307692,15.0,2850,120.6,50,27,103,65,360,134,33.5
41,AN Ahmed,6,36,36.0,5.0,26,138.46,0,0,18,1,4,14,14.0
42,AN Ghosh,2,7,3.5,0.0,8,87.5,0,0,7,0,1,7,3.5
43,AP Dole,2,34,17.0,0.0,22,154.55,1,0,30,1,3,34,17.0
44,AP Majumdar,4,87,21.75,0.0,76,114.47,2,0,31,2,7,87,21.75
45,AP Tare,27,339,14.125,3.0,273,124.18,2,1,59,11,40,22,5.5
46,AR Bawne,1,12,12.0,1.0,12,100.0,0,0,12,0,1,12,12.0
47,AR Patel,50,690,19.166666666666668,14.0,542,127.31,7,0,44,32,37,55,27.5
48,AS Rajpoot,5,18,4.5,1.0,31,58.06,0,0,9,0,2,14,4.666666666666667
49,AS Raut,16,194,21.555555555555557,7.0,167,116.17,2,0,36,7,13,60,20.0
50,AS Yadav,20,566,29.789473684210527,1.0,423,133.81,9,4,73,18,66,116,29.0
51,AT Rayudu,121,3023,29.93069306930693,20.0,2317,130.47,44,18,100,113,258,68,22.666666666666668
52,AUK Pathan,7,39,7.8,2.0,23,169.57,0,0,14,2,5,13,4.333333333333333
53,Abdur Razzak,1,0,,1.0,2,0.0,0,0,0,0,0,0,
54,Anirudh Singh,4,63,15.75,0.0,66,95.45,1,0,40,1,6,63,15.75
55,Ankit Sharma,13,151,18.875,5.0,100,151.0,2,0,46,9,10,67,67.0
56,Ankit Soni,3,7,3.5,1.0,9,77.78,0,0,7,1,0,7,3.5
57,Anureet Singh,8,37,9.25,4.0,47,78.72,0,0,15,1,2,12,6.0
58,Azhar Mahmood,21,388,20.42105263157895,2.0,303,128.05,5,2,80,13,39,156,39.0
59,B Akhil,11,76,12.666666666666666,5.0,55,138.18,0,0,27,5,5,30,10.0
60,B Chipli,21,280,18.666666666666668,6.0,251,111.55,2,1,61,7,28,43,14.333333333333334
61,B Kumar,37,171,8.142857142857142,16.0,173,98.84,0,0,24,3,16,13,6.5
62,B Laughlin,4,5,2.5,2.0,13,38.46,0,0,4,0,0,5,2.5
63,B Lee,19,124,12.4,9.0,97,127.84,0,0,25,8,8,54,27.0
64,B Stanlake,1,5,5.0,1.0,2,250.0,0,0,5,0,1,5,5.0
65,B Sumanth,4,35,35.0,3.0,37,94.59,0,0,16,0,3,35,35.0
66,BA Bhatt,2,6,6.0,1.0,7,85.71,0,0,6,1,0,6,6.0
67,BA Stokes,23,514,23.363636363636363,1.0,382,134.55,6,2,103,21,35,49,12.25
68,BAW Mendis,3,3,1.5,1.0,6,50.0,0,0,2,0,0,3,1.5
69,BB McCullum,109,2884,28.274509803921568,7.0,2190,131.69,44,15,158,129,293,88,22.0
70,BB Samantray,8,125,25.0,3.0,113,110.62,2,1,55,2,13,74,24.666666666666668
71,BB Sran,6,8,8.0,5.0,11,72.73,0,0,2,0,0,6,6.0
72,BCJ Cutting,14,221,24.555555555555557,5.0,124,178.23,2,0,39,18,14,76,25.333333333333332
73,BE Hendricks,2,1,1.0,1.0,3,33.33,0,0,1,0,0,1,1.0
74,BJ Haddin,1,18,18.0,0.0,11,163.64,0,0,18,1,2,18,18.0
75,BJ Hodge,63,1400,33.333333333333336,21.0,1118,125.22,21,6,73,43,122,101,33.666666666666664
76,BJ Rohrer,8,193,32.166666666666664,2.0,141,136.88,3,1,64,5,21,107,35.666666666666664
77,BMAJ Mendis,3,23,7.666666666666667,0.0,27,85.19,0,0,12,0,0,23,7.666666666666667
78,BR Dunk,3,40,13.333333333333334,0.0,35,114.29,0,0,20,0,7,40,13.333333333333334
79,Basil Thampi,6,31,31.0,5.0,34,91.18,0,0,13,1,1,18,18.0
80,Bipul Sharma,17,187,23.375,9.0,123,152.03,1,0,35,9,11,51,25.5
81,C Madan,1,15,15.0,0.0,19,78.95,0,0,15,0,3,15,15.0
82,C Munro,7,93,13.285714285714286,0.0,71,130.99,1,0,33,4,10,63,15.75
83,C Nanda,1,0,0.0,0.0,1,0.0,0,0,0,0,0,0,0.0
84,C de Grandhomme,17,260,20.0,4.0,176,147.73,4,0,41,15,14,79,26.333333333333332
85,CA Ingram,3,21,10.5,1.0,26,80.77,0,0,13,0,2,21,10.5
