Bowler,Matches,Wickets,Runs,Overs,Average,Economy,SR,BBI,3WI,Fours,Sixes
A Ashish Reddy,20,18,400,45,22.22,8.89,15.0,3/25,1,26,20
A Chandila,12,11,245,39,22.27,6.28,21.27,4/13,1,17,10
A Choudhary,5,5,144,17,28.8,8.47,20.4,2/17,0,13,6
A Dananjaya,1,0,48,4,48.0,12.0,0.0,0/48,0,2,4
A Flintoff,3,2,106,11,53.0,9.64,33.0,1/11,0,7,7
A Kumble,42,45,1089,163,24.2,6.68,21.73,5/6,5,72,35
A Mishra,136,146,3576,479,24.49,7.47,19.68,5/17,15,204,160
A Mithun,16,7,477,48,68.14,9.94,41.14,2/37,0,42,21
A Nehra,88,106,2537,320,23.93,7.93,18.11,4/11,14,279,76
A Nel,1,1,31,3,31.0,10.33,18.0,1/31,0,3,2
A Singh,23,28,639,80,22.82,7.99,17.14,4/19,3,67,17
A Symonds,30,20,694,88,34.7,7.89,26.4,3/22,1,44,33
A Uniyal,2,2,67,6,33.5,11.17,18.0,2/41,0,6,3
A Zampa,11,19,281,37,14.79,7.59,11.68,6/19,2,12,14
AA Chavan,13,8,339,42,42.38,8.07,31.5,2/24,0,28,16
AA Jhunjhunwala,10,1,130,15,130.0,8.67,90.0,1/14,0,10,5
AA Kazi,1,0,21,2,21.0,10.5,0.0,0/21,0,1,1
AA Noffke,1,1,41,4,41.0,10.25,24.0,1/41,0,2,2
AB Agarkar,42,29,1174,131,40.48,8.96,27.1,3/25,1,113,41
AB Dinda,75,69,2103,255,30.48,8.25,22.17,4/18,5,232,58
AB McDonald,10,11,263,31,23.91,8.48,16.91,2/25,0,20,11
AC Gilchrist,1,1,0,1,0.0,0.0,6.0,1/0,0,0,0
AC Thomas,15,14,416,53,29.71,7.85,22.71,3/22,1,41,11
AC Voges,7,0,76,9,76.0,8.44,0.0,0/5,0,8,2
AD Mascarenhas,13,19,365,52,19.21,7.02,16.42,5/29,2,34,8
AD Mathews,44,27,1095,133,40.56,8.23,29.56,4/20,2,98,29
AD Russell,49,44,1294,144,29.41,8.99,19.64,4/25,6,126,47
AF Milne,5,4,185,18,46.25,10.28,27.0,2/32,0,21,5
AG Murtaza,12,9,322,44,35.78,7.32,29.33,3/16,1,22,14
AJ Finch,5,1,67,8,67.0,8.38,48.0,1/11,0,4,4
AJ Tye,20,36,633,77,17.58,8.22,12.83,5/18,5,51,17
AL Menaria,12,3,144,19,48.0,7.58,38.0,2/20,0,15,4
AM Nayar,19,9,323,39,35.89,8.28,26.0,3/13,1,22,13
AM Rahane,1,1,5,1,5.0,5.0,6.0,1/5,0,0,0
AM Salvi,7,7,205,25,29.29,8.2,21.43,2/22,0,18,7
AN Ahmed,17,12,515,58,42.92,8.88,29.0,2/19,0,43,20
AP Dole,3,5,114,11,22.8,10.36,13.2,2/36,0,11,4
AR Patel,67,61,1810,235,29.67,7.7,23.11,4/21,3,115,72
AS Rajpoot,19,19,497,56,26.16,8.88,17.68,5/16,2,55,15
AS Raut,5,0,45,5,45.0,9.0,0.0,0/6,0,4,1
AUK Pathan,3,0,63,7,63.0,9.0,0.0,0/14,0,5,2
