index,Batsman,Matches,Runs,Average,SR,HardHitter,Finisher,Running
0,A Ashish Reddy,23,280,18.666666666666668,142.86,0.7857142857142857,0.34782608695652173,0.7636363636363637
1,A Chandila,2,4,4.0,57.14,0.0,1.0,0.5714285714285714
2,A Choudhary,3,25,25.0,125.0,0.5,0.6666666666666666,0.8333333333333334
3,A Dananjaya,1,4,4.0,80.0,0.0,1.0,0.8
4,A Flintoff,3,62,31.0,108.77,0.5614035087719298,0.3333333333333333,0.6
5,A Kumble,15,35,11.666666666666664,71.43,0.24489795918367346,0.8,0.5
6,A Mishra,50,340,12.592592592592592,89.01,0.3612565445026178,0.46,0.5771428571428572
7,A Mithun,6,34,6.8,130.77,0.8461538461538461,0.16666666666666666,0.5714285714285714
8,A Nehra,17,39,5.571428571428571,63.93,0.29508196721311475,0.5882352941176471,0.3684210526315789
9,A Singh,5,2,0.5,22.22,0.0,0.2,0.2222222222222222
10,A Symonds,36,973,36.03703703703704,125.39,0.6984536082474226,0.25,0.6520423600605144
11,A Uniyal,2,4,4.0,57.14,0.0,0.5,0.5714285714285714
12,AA Bilakhia,7,69,13.8,79.31,0.22988505747126436,0.2857142857142857,0.5975609756097561
13,AA Chavan,3,12,6.0,109.09,0.7272727272727273,0.3333333333333333,0.4444444444444444
14,AA Jhunjhunwala,15,217,16.692307692307693,100.0,0.48847926267281105,0.13333333333333333,0.5751295336787565
15,AB Agarkar,18,177,19.666666666666668,112.74,0.5222929936305732,0.5,0.6834532374100719
16,AB Barath,3,42,21.0,97.67,0.6046511627906976,0.3333333333333333,0.43243243243243246
17,AB Dinda,16,26,2.6,52.0,0.16,0.375,0.375
18,AB McDonald,9,123,24.6,119.42,0.5825242718446602,0.4444444444444444,0.7
19,AB de Villiers,129,3935,39.747474747474755,147.32,0.8977910894795956,0.23255813953488372,0.7105871474803513
20,AC Gilchrist,80,2046,26.921052631578952,132.6,0.9643551523007129,0.05,0.45850451930977815
21,AC Thomas,4,20,10.0,105.26,0.5263157894736842,0.5,0.5882352941176471
22,AC Voges,7,181,45.25,126.57,0.5454545454545454,0.42857142857142855,0.824
23,AD Mascarenhas,11,79,8.777777777777779,100.0,0.3291139240506329,0.18181818181818182,0.726027397260274
24,AD Mathews,41,722,24.066666666666666,120.94,0.5862646566164154,0.2682926829268293,0.7099236641221374
25,AD Russell,39,899,27.24242424242424,170.27,1.2651515151515151,0.15384615384615385,0.5848101265822785
26,AF Milne,3,7,3.5,58.33,0.0,0.3333333333333333,0.5833333333333334
27,AG Murtaza,3,10,10.0,71.43,0.2857142857142857,0.6666666666666666,0.46153846153846156
28,AJ Finch,73,1740,26.363636363636363,127.75,0.8120411160058737,0.0958904109589041,0.5665773011617515
