Bowler,Matches,Wickets,Average,Economy,SR,Big,Performance
A Ashish Reddy,20,18,22.22,8.89,15.0,0.05,0.0526
A Chandila,12,11,22.27,6.28,21.27,0.0833,0.0909
A Choudhary,5,5,28.8,8.47,20.4,0.0,0.0
A Dananjaya,1,0,48.0,12.0,0.0,0.0,0.0
A Flintoff,3,2,53.0,9.64,33.0,0.0,0.0
A Kumble,42,45,24.2,6.68,21.73,0.119,0.1351
A Mishra,136,146,24.49,7.47,19.68,0.1103,0.124
A Mithun,16,7,68.14,9.94,41.14,0.0,0.0
A Nehra,88,106,23.93,7.93,18.11,0.1591,0.1892
A Nel,1,1,31.0,10.33,18.0,0.0,0.0
A Singh,23,28,22.82,7.99,17.14,0.1304,0.15
A Symonds,30,20,34.7,7.89,26.4,0.0333,0.0345
A Uniyal,2,2,33.5,11.17,18.0,0.0,0.0
A Zampa,11,19,14.79,7.59,11.68,0.1818,0.2222
AA Chavan,13,8,42.38,8.07,31.5,0.0,0.0
AA Jhunjhunwala,10,1,130.0,8.67,90.0,0.0,0.0
AA Kazi,1,0,21.0,10.5,0.0,0.0,0.0
AA Noffke,1,1,41.0,10.25,24.0,0.0,0.0
AB Agarkar,42,29,40.48,8.96,27.1,0.0238,0.0244
AB Dinda,75,69,30.48,8.25,22.17,0.0667,0.0714
AB McDonald,10,11,23.91,8.48,16.91,0.0,0.0
AC Gilchrist,1,1,0.0,0.0,6.0,0.0,0.0
AC Thomas,15,14,29.71,7.85,22.71,0.0667,0.0714
AC Voges,7,0,76.0,8.44,0.0,0.0,0.0
AD Mascarenhas,13,19,19.21,7.02,16.42,0.1538,0.1818
AD Mathews,44,27,40.56,8.23,29.56,0.0455,0.0476
AD Russell,49,44,29.41,8.99,19.64,0.1224,0.1395
AF Milne,5,4,46.25,10.28,27.0,0.0,0.0
AG Murtaza,12,9,35.78,7.32,29.33,0.0833,0.0909
AJ Finch,5,1,67.0,8.38,48.0,0.0,0.0
AJ Tye,20,36,17.58,8.22,12.83,0.25,0.3333
AL Menaria,12,3,48.0,7.58,38.0,0.0,0.0
AM Nayar,19,9,35.89,8.28,26.0,0.0526,0.0556
AM Rahane,1,1,5.0,5.0,6.0,0.0,0.0
AM Salvi,7,7,29.29,8.2,21.43,0.0,0.0
AN Ahmed,17,12,42.92,8.88,29.0,0.0,0.0
AP Dole,3,5,22.8,10.36,13.2,0.0,0.0
AR Patel,67,61,29.67,7.7,23.11,0.0448,0.0469
AS Rajpoot,19,19,26.16,8.88,17.68,0.1053,0.1176
AS Raut,5,0,45.0,9.0,0.0,0.0,0.0
AUK Pathan,3,0,63.0,9.0,0.0,0.0,0.0
Abdur Razzak,1,0,29.0,14.5,0.0,0.0,0.0
Anand Rajan,8,8,25.75,8.24,18.75,0.125,0.1429
Ankit Sharma,21,12,37.75,7.31,31.0,0.0,0.0
Ankit Soni,6,2,72.5,7.63,57.0,0.0,0.0
Anureet Singh,22,18,35.33,9.22,23.0,0.0455,0.0476
Avesh Khan,7,5,46.6,10.13,27.6,0.0,0.0
Azhar Mahmood,23,29,24.38,7.77,18.83,0.1739,0.2105
B Akhil,13,6,41.0,7.69,32.0,0.0,0.0
B Chipli,1,0,20.0,20.0,0.0,0.0,0.0
B Geeves,2,1,91.0,11.38,48.0,0.0,0.0
B Kumar,102,120,23.16,7.31,19.0,0.1176,0.1333
B Laughlin,9,10,29.3,10.46,16.8,0.0,0.0
B Lee,38,25,45.04,7.66,35.28,0.0263,0.027
B Stanlake,6,7,29.14,8.5,20.57,0.0,0.0
BA Bhatt,15,12,34.0,8.16,25.0,0.0667,0.0714
BA Stokes,24,20,32.4,8.0,24.3,0.125,0.1429
BAW Mendis,10,8,38.25,7.46,30.75,0.0,0.0
BB Sran,22,18,40.78,9.53,25.67,0.0455,0.0476
